refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,Data Domain,Observation URI,references,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,refArea District,refArea Governorate,Town,dataset
,2e+00,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-+Bireh,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.5e+01,3e+01,1e+01,2.5e+01,3e+00,http://dbpedia.org/resource/Chouf_District,https://dbpedia.org/page/Mount_Lebanon_Governorate, Bireh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Jezzine_District,https://dbpedia.org/page/South_Governorate,A'ain El-Mir (El Establ),http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1.5e+01,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0e+00,Impact Open Data,0e+00,3e+01,0e+00,5e+01,5e+00,http://dbpedia.org/resource/Akkar_District,https://dbpedia.org/page/Akkar_Governorate,AAridet Cheikh Zennad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,1e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaba,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1.5e+01,2e+01,1e+01,1e+01,2e+01,http://dbpedia.org/resource/Koura_District,https://dbpedia.org/page/North_Governorate,Aaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,1.7e+01,Impact Open Data,3e+01,2e+01,3e+00,1.7e+01,1e+01,http://dbpedia.org/resource/Baabda_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aabadiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,1.8e+01,Impact Open Data,5e+01,1.8e+01,2e+00,1e+01,0e+00,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aabaydat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabba,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Nabatieh_District,https://dbpedia.org/page/Nabatieh_Governorate,Aabba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,3e+01,2e+01,5e+00,2e+00,http://dbpedia.org/resource/Tyre_District,https://dbpedia.org/page/South_Governorate,Aabbesiyyi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabdine,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,2e+01,1e+01,5e+00,5e+00,1.8e+01,http://dbpedia.org/resource/Bsharri_District,https://dbpedia.org/page/North_Governorate,Aabdine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,5e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,1e+01,2.5e+01,1e+01,1.5e+01,5e+00,http://dbpedia.org/resource/Sidon_District,https://dbpedia.org/page/South_Governorate,Aabra Saida,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabrine,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,3e+01,1e+01,1e+01,5e+00,5e+00,http://dbpedia.org/resource/Batroun_District,https://dbpedia.org/page/North_Governorate,Aabrine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachach,https://impact.cib.gov.lb/home#open_data_section,4e+01,Impact Open Data,1e+01,0e+00,2e+01,0e+00,3e+01,http://dbpedia.org/resource/Zgharta_District,https://dbpedia.org/page/North_Governorate,Aachach,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aachqout,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Keserwan_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aachqout,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,1.6e+01,Impact Open Data,2e+01,2.2e+01,1.8e+01,1.6e+01,5e+00,http://dbpedia.org/resource/Marjeyoun_District,https://dbpedia.org/page/Nabatieh_Governorate,Aadaysseh Marjaayoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Nabatieh_District,https://dbpedia.org/page/Nabatieh_Governorate,Aadchit Ech-Chqif,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+01,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.4e+01,1.5e+01,1e+01,3.5e+01,1e+00,http://dbpedia.org/resource/Marjeyoun_District,https://dbpedia.org/page/Nabatieh_Governorate,Aadchit El-Qoussair,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadloun,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Sidon_District,https://dbpedia.org/page/South_Governorate,Aadloun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,1e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,1.4e+01,Impact Open Data,2e+01,4e+01,3e+00,2e+01,1e+00,http://dbpedia.org/resource/Sidon_District,https://dbpedia.org/page/South_Governorate,Aadoussiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,4e+01,1e+01,0e+00,1e+01,http://dbpedia.org/resource/Koura_District,https://dbpedia.org/page/North_Governorate,Aafsdiq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,1.2e+01,Impact Open Data,1e+01,1e+01,5e+00,6e+01,3e+00,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Aanoub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,3e+01,1e+01,2e+01,5e+00,http://dbpedia.org/resource/Rashaya_District,https://dbpedia.org/page/Beqaa_Governorate,Aain Aarab Rachaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,3e+00,Impact Open Data,1e+01,2e+01,1e+01,5e+01,2e+00,http://dbpedia.org/resource/Rashaya_District,https://dbpedia.org/page/Beqaa_Governorate,Aain Aata,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Dara,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
